AllocationYear,Cluster,BeneficiariesActualTotal,BeneficiariesPlannedTotal,Budgetbycluster,AllocationSourceName
2016,Protection,63158.9,18340,312099.73,Standard
2016,Protection,8675,10900,399949.53,Standard
2016,Protection,350000,350000,341409.93,Standard
2016,Protection,83371,17528,654171.76,Standard
2016,Protection,500000,150100,148901.2,Standard
2016,Protection,14802,37000,911740.95,Standard
2016,Protection,93706,108000,999084.68,Standard
2016,Protection,184603,20280,399918.06,Standard
2016,Multi-Sector,112320,108000,1000000.18,Standard
2016,Emergency Shelter and NFI,2585.75,1500,205313.65,Standard
2016,Food Security,2068.6,1200,164250.92,Standard
2016,Health,2585.75,1500,205313.65,Standard
2016,Water Sanitation Hygiene,3102.9,1800,246376.38,Standard
2016,Water Sanitation Hygiene,19298,9600,547711.6,Standard
2016,Water Sanitation Hygiene,9968,13250,744273.69,Standard
2016,Water Sanitation Hygiene,102836,15000,1014586.49,Standard
2016,Water Sanitation Hygiene,17309,21600,801969.8,Standard
2016,Water Sanitation Hygiene,28200,24500,1076774.07,Standard
2016,Water Sanitation Hygiene,72538,67488,489630.75,Standard
2016,Water Sanitation Hygiene,12000,10000,499030.88,Standard
2016,Water Sanitation Hygiene,10357,6600,427000,Standard
2016,Water Sanitation Hygiene,11234,9000,450000,Standard
2016,Water Sanitation Hygiene,1500,1500,270520.61,Standard
2016,Water Sanitation Hygiene,3987,3900,349638.02,Standard
2016,Water Sanitation Hygiene,1890,2400,267494.65,Standard
2016,Water Sanitation Hygiene,10000,10000,434367.04,Standard
2016,Water Sanitation Hygiene,220125,250000,2650666.25,Standard
2016,Water Sanitation Hygiene,4800,12000,1081000.3,Standard
2016,Water Sanitation Hygiene,100000,54000,594390.35,Standard
2016,Multi-Sector,1861,1800,477528.2,Standard
2016,Multi-Sector,6357,6180,1222472.15,Standard
2016,Camp Coordination / Management,400,400,210000.13,Standard
2016,Camp Coordination / Management,31261,6020,190003.11,Standard
2016,Camp Coordination / Management,2122,800,399998.78,Standard
2016,Coordination and Support Services,400,400,278711.46,Standard
2016,Coordination and Support Services,54619,35200,600216.5,Standard
2016,Coordination and Support Services,188,188,570363.5,Standard
2016,Education,17192,30650,1650207.03,Standard
2016,Early Recovery,5328,5400,480000,Standard
2016,Early Recovery,3024,2922,319678.72,Standard
2016,Early Recovery,4650,5207,688735.95,Standard
2016,Food Security,38160,63250,600000.24,Standard
2016,Food Security,8904,8000,600000,Standard
2016,Food Security,15037,15000,300000,Standard
2016,Food Security,9606,8165,600000.02,Standard
2016,Food Security,4116,4500,400000.24,Standard
2016,Health,56035,50000,500000,Standard
2016,Health,77760,37409,550000.01,Standard
2016,Health,19602,19401,449999.7,Standard
2016,Health,115620,86056,745455.49,Standard
2016,Health,36783,30000,250000.71,Standard
2016,Health,5000,4000,105000.17,Standard
2016,Health,247583,237859,899880.7,Standard
2016,Health,100562,63000,600000.36,Standard
2016,Health,475625,355000,2900000.24,Standard
2016,Health,346432,410916,496758.26,Standard
2016,Emergency Shelter and NFI,10092,8461,700000.4,Standard
2016,Emergency Shelter and NFI,3920,3888,249998.05,Standard
2016,Emergency Shelter and NFI,11393,9480,499999.8,Standard
2016,Emergency Shelter and NFI,3917,3917,434831.95,Standard
2016,Emergency Shelter and NFI,6660,6660,400856.97,Standard
2016,Emergency Shelter and NFI,25352,22022,1565000,Standard
2016,Emergency Shelter and NFI,3365,3365,900026.04,Standard
2016,Protection,10518,8725,449989.04,Standard
2016,Protection,25692,19445,196714.42,Standard
2016,Protection,6670,10600,476753.48,Standard
2016,Protection,6518,6150,249828.74,Standard
2016,Protection,70287,30605,723000,Standard
2016,Protection,76994,30800,700324.63,Standard
2016,Protection,132,150,199757.5,Standard
2016,Water Sanitation Hygiene,82057,80845,1112665.77,Standard
2016,Water Sanitation Hygiene,75930,42000,288176.68,Standard
2016,Water Sanitation Hygiene,37003,18350,390000.06,Standard
2016,Water Sanitation Hygiene,7281,7200,246792,Standard
2016,Water Sanitation Hygiene,10950,27324,240976.2,Standard
2016,Water Sanitation Hygiene,38673,24800,374143.69,Standard
2016,Water Sanitation Hygiene,0,12747,750000.01,Standard
2016,Water Sanitation Hygiene,44138,16320,631237.19,Standard
2016,Water Sanitation Hygiene,109600,106000,1238837.44,Standard
2016,Water Sanitation Hygiene,49746,36000,287000.75,Standard
2016,Water Sanitation Hygiene,42198,43773,424982.6,Standard
2016,Water Sanitation Hygiene,9991,12491,397809.17,Standard
2016,Water Sanitation Hygiene,254000,208700,1103036.81,Standard
2017,Water Sanitation Hygiene,55093,45000,2020695,Reserve
2017,Multi-Sector,6043,5520,950000,Reserve
2017,Multi-Sector,0,4250,750000,Reserve
2017,Education,6172,5508,408056.14,Reserve
2017,Education,7811,7811,199966,Reserve
2017,Education,6780,3785,252199,Reserve
2017,Early Recovery,200,200,134610,Reserve
2017,Early Recovery,300,300,104103.3,Reserve
2017,Food Security,1000,1000,321814.5,Reserve
2017,Health,9406,7500,124999.65,Reserve
2017,Health,32180,28800,230404.17,Reserve
2017,Health,61542,18000,439891.98,Reserve
2017,Health,,95190,1729735.62,Reserve
2017,Health,18208,13719,225000,Reserve
2017,Health,,16800,248099.62,Reserve
2017,Health,216300,80000,640943.76,Reserve
2017,Emergency Shelter and NFI,,22752,670469.79,Reserve
2017,Protection,,2528,74496.64,Reserve
2017,Emergency Shelter and NFI,,12180,1282011.45,Reserve
2017,Emergency Shelter and NFI,14729,14349,730000,Reserve
2017,Emergency Shelter and NFI,1108,1100,58695.52,Reserve
2017,Emergency Shelter and NFI,,16113,3097324.85,Reserve
2017,Emergency Shelter and NFI,3000,6000,551636.01,Reserve
2017,Education,,995.22,300726.81,Reserve
2017,Protection,,750.78,226864.08,Reserve
2017,Protection,12371,4537,132627.72,Reserve
2017,Protection,3967,3424,282680.42,Reserve
2017,Protection,1260,68000,971526.13,Reserve
2017,Protection,410,18000,329340.65,Reserve
2017,Protection,,1885,140041.81,Reserve
2017,Protection,0,146,106855.55,Reserve
2017,Protection,3388,2050,106471.1,Reserve
2017,Protection,2653,8800,176757.15,Reserve
2017,Protection,20228,7500,128367,Reserve
2017,Protection,73173,28000,244979.3,Reserve
2017,Protection,5596,5300,58570,Reserve
2017,Protection,11165,3775,175544.2,Reserve
2017,Protection,,25586,693417.04,Reserve
2017,Water Sanitation Hygiene,15968,18000,466866.95,Reserve
2017,Water Sanitation Hygiene,18529,10500,460000,Reserve
2017,Water Sanitation Hygiene,,85758,1966702.83,Reserve
2017,Water Sanitation Hygiene,11959,11295,150024.7,Reserve
2017,Water Sanitation Hygiene,0,4700,189106.45,Reserve
2017,Water Sanitation Hygiene,16278,60000,195168,Reserve
2017,Water Sanitation Hygiene,,11142,620000.8,Reserve
2017,Camp Coordination / Management,,66123,3000000,Reserve
2017,Coordination and Support Services,70,170,299685.26,Reserve
2017,Emergency Shelter and NFI,3233,4200,229999.28,Reserve
2017,Emergency Shelter and NFI,15640,12000,300000,Reserve
2017,Emergency Shelter and NFI,,24000,600968.18,Reserve
2017,Emergency Shelter and NFI,7730,7200,370000,Reserve
2017,Logistics,,9,313794.96,Reserve
2017,Protection,40000,144000,999808,Reserve
2017,Multi-Sector,5467,4500,450000.27,Standard
2017,Multi-Sector,4289,3720,600000,Standard
2017,Multi-Sector,21732,22602,2250000,Standard
2017,Camp Coordination / Management,197711,131500,675421.2,Standard
2017,Camp Coordination / Management,2055,15000,126627.6,Standard
2017,Camp Coordination / Management,72000,72000,377645.8,Standard
2017,Coordination and Support Services,500000,500000,246300.6,Standard
2017,Coordination and Support Services,37026,49500,652498.84,Standard
2017,Education,12039.3,7070,369425.62,Standard
2017,Protection,5159.7,3030,158325.26,Standard
2017,Education,27440,27440,271456.33,Standard
2017,Protection,3360,3360,33239.55,Standard
2017,Water Sanitation Hygiene,25200,25200,249296.63,Standard
2017,Education,,2448,202294.2,Standard
2017,Education,8313,3916,410800.82,Standard
2017,Education,3787,11240,449903.97,Standard
2017,Education,,31142,742399.99,Standard
2017,Education,16016,16000,494709.15,Standard
2017,Education,3523,2338,320133.3,Standard
2017,Education,0,8304,361751.25,Standard
2017,Early Recovery,,450,349933.41,Standard
2017,Early Recovery,5225,3336,300000,Standard
2017,Early Recovery,2908,3120,350000.21,Standard
2017,Early Recovery,126,2100,317747.2,Standard
2017,Emergency Telecommunications,,60,1472499.29,Standard
2017,Food Security,12828,12756,647949.2,Standard
2017,Food Security,68892,60462,696351.1,Standard
2017,Food Security,38370,36000,418798,Standard
2017,Food Security,0,246000,2005677.66,Standard
2017,Health,116516,42249,247786.32,Standard
2017,Health,41313,44640,349999.86,Standard
2017,Health,22386,22230,399958.68,Standard
2017,Health,15000,15000,160001.38,Standard
2017,Health,40748,65000,110000.28,Standard
2017,Health,27669,31500,452254.03,Standard
2017,Health,21954,9179,200000.59,Standard
2017,Health,32511,41000,249236.21,Standard
2017,Health,77406,31824,399999.38,Standard
2017,Health,6500,11550,285317.13,Standard
2017,Health,20450,23100,299999.75,Standard
2017,Health,46646,29000,540737.34,Standard
2017,Health,46645,44800,650000.48,Standard
2017,Health,34047,31605,1200000.01,Standard
2017,Health,,500000,2899996.3,Standard
2017,Logistics,30,30,1149989.05,Standard
2017,Emergency Shelter and NFI,12756,12756,677273.2,Standard
2017,Emergency Shelter and NFI,4934,6600,676935.8,Standard
2017,Emergency Shelter and NFI,14647,10500,714000,Standard
2017,Emergency Shelter and NFI,8980,6000,421464.44,Standard
2017,Emergency Shelter and NFI,12250,11888,572447,Standard
2017,Emergency Shelter and NFI,8957,6040,340112.34,Standard
2017,Emergency Shelter and NFI,10800,10800,539347.11,Standard
2017,Emergency Shelter and NFI,,33000,631835,Standard
2017,Emergency Shelter and NFI,8810,7200,390764.86,Standard
2017,Education,6724.52,5655,107311.89,Standard
2017,Protection,16463.48,13845,262729.11,Standard
2017,Protection,32040,30000,285700.7,Standard
2017,Protection,21203,26730,381557.99,Standard
2017,Protection,15828,8378,459328.53,Standard
2017,Protection,61149,30650,495789.69,Standard
2017,Protection,5291,5144,375003.33,Standard
2017,Protection,2867,2664,229000,Standard
2017,Protection,17201,11408,230000.78,Standard
2017,Protection,12049,6702,485000.38,Standard
2017,Protection,15490,11340,299997.02,Standard
2017,Protection,,10880,402590,Standard
2017,Protection,6330,916,57662.14,Standard
2017,Protection,61109,55750,1117933.86,Standard
2017,Protection,,6000,260000,Standard
2017,Multi-Sector,100000,100000,1000000,Standard
2017,Water Sanitation Hygiene,146328,50000,700000.05,Standard
2017,Education,5365,2516,281200,Standard
2017,Water Sanitation Hygiene,1885,884,98800,Standard
2017,Water Sanitation Hygiene,,55750,844428.91,Standard
2017,Water Sanitation Hygiene,37809,60726,349999.91,Standard
2017,Water Sanitation Hygiene,50454,40381,700000,Standard
2017,Water Sanitation Hygiene,90047,20000,549999.04,Standard
2017,Water Sanitation Hygiene,42000,30000,499893.3,Standard
2017,Water Sanitation Hygiene,22838,7500,450000,Standard
2017,Water Sanitation Hygiene,10094,10100,700000,Standard
2017,Water Sanitation Hygiene,381,8500,369999.58,Standard
2017,Water Sanitation Hygiene,16584,17000,369859.41,Standard
2017,Water Sanitation Hygiene,5100,4200,299556.4,Standard
2017,Water Sanitation Hygiene,24500,24500,725999.87,Standard
2017,Water Sanitation Hygiene,36000,36000,500749.3,Standard
2017,Water Sanitation Hygiene,,64000,400000,Standard
2017,Water Sanitation Hygiene,388000,240000,2200070.44,Standard
2018,Health,,2592862,2281581.01,Reserve
2018,Health,,6772555,350000.1,Reserve
2018,Multi-Sector,3660,3600,500000,Standard
2018,Multi-Sector,,8220,1904999.86,Standard
2018,Multi-Sector,,6358,1199641.63,Standard
2018,Multi-Sector,,1200,295210,Standard
2018,Camp Coordination / Management,,6000,211624.07,Standard
2018,Camp Coordination / Management,2983,82800,160800,Standard
2018,Camp Coordination / Management,,3586,150000,Standard
2018,Camp Coordination / Management,,188,270346.47,Standard
2018,Coordination and Support Services,,212,304858.78,Standard
2018,Coordination and Support Services,250000,500000,711521.21,Standard
2018,Coordination and Support Services,,76000,1364998.99,Standard
2018,Education,,15844,662266.87,Standard
2018,Education,,9594,254702.69,Standard
2018,Education,4975,5150,324999.66,Standard
2018,Education,,3570,301871.4,Standard
2018,Education,,2971,119428.05,Standard
2018,Education,2903,3870,193588.5,Standard
2018,Early Recovery,,266,133999.31,Standard
2018,Early Recovery,,251,229999.28,Standard
2018,Early Recovery,,660,134000.38,Standard
2018,Early Recovery,0,0,0,Standard
2018,Food Security,0,12000,565320.59,Standard
2018,Food Security,4883,4830,570618.05,Standard
2018,Food Security,,18000,499262,Standard
2018,Health,4773,3711,142500,Standard
2018,Protection,1591,1237,47500,Standard
2018,Health,,7832,200000,Standard
2018,Health,,24400,199999.93,Standard
2018,Health,8028,4380,125020.46,Standard
2018,Health,16488,12133,150037.88,Standard
2018,Health,9957,7200,151625.85,Standard
2018,Health,,38575,156592.36,Standard
2018,Health,1488,5971,150165.94,Standard
2018,Health,8172,13148,225332.07,Standard
2018,Health,,21000,159996.99,Standard
2018,Health,6148,6000,100069.61,Standard
2018,Health,52394,51900,239996.72,Standard
2018,Health,2093,1200,225305.62,Standard
2018,Health,,26000,329739.87,Standard
2018,Health,,28728,758203.09,Standard
2018,Health,,76095,400000.03,Standard
2018,Health,,747200,1069777.33,Standard
2018,Health,,520000,359569.49,Standard
2018,Logistics,,5,858970.8,Standard
2018,Camp Coordination / Management,,93963.36,328127.78,Standard
2018,Emergency Shelter and NFI,,70884.64,247535,Standard
2018,Emergency Shelter and NFI,,3600,190000.01,Standard
2018,Emergency Shelter and NFI,,4740,483928.9,Standard
2018,Emergency Shelter and NFI,,9000,550000,Standard
2018,Emergency Shelter and NFI,,5100,491521.62,Standard
2018,Emergency Shelter and NFI,2750,4938,299999.86,Standard
2018,Emergency Shelter and NFI,,34000,499960.32,Standard
2018,Emergency Shelter and NFI,,33000,1700000,Standard
2018,Emergency Shelter and NFI,,900,394894.2,Standard
2018,Education,,2467.5,100594.98,Standard
2018,Protection,,7402.5,301784.94,Standard
2018,Education,,2144.34,199500,Standard
2018,Protection,,1617.66,150500,Standard
2018,Protection,,12670,497178.87,Standard
2018,Protection,,4852,150921.25,Standard
2018,Protection,,9836,262500,Standard
2018,Protection,,75000,1268479.81,Standard
2018,Protection,,15236,300000,Standard
2018,Protection,,1918,200000,Standard
2018,Protection,,10000,262513.8,Standard
2018,Protection,,5050,299485.2,Standard
2018,Protection,,50000,597223.18,Standard
2018,Protection,1864,3500,163763.5,Standard
2018,Protection,6176,7610,272946.82,Standard
2018,Protection,5566,2913,126859.74,Standard
2018,Protection,,38727,320454.3,Standard
2018,Protection,4766,3600,99028.5,Standard
2018,Protection,,5320,200000.12,Standard
2018,Multi-Sector,,36000,272999.8,Standard
2018,Multi-Sector,,60000,273000,Standard
2018,Water Sanitation Hygiene,0,24000,400000,Standard
2018,Water Sanitation Hygiene,,21300,599964.66,Standard
2018,Water Sanitation Hygiene,,69000,395469,Standard
2018,Water Sanitation Hygiene,,9475,497357.95,Standard
2018,Water Sanitation Hygiene,423,16132,349999.14,Standard
2018,Water Sanitation Hygiene,13500,12000,499999.99,Standard
2018,Water Sanitation Hygiene,0,12396,358000,Standard
2018,Water Sanitation Hygiene,25882,26000,383434.5,Standard
2018,Water Sanitation Hygiene,19654,20129,265381.4,Standard
2018,Water Sanitation Hygiene,3944,19106,239856.55,Standard
2018,Water Sanitation Hygiene,,4950,299976.64,Standard
2018,Water Sanitation Hygiene,,80000,800089.29,Standard
2018,Water Sanitation Hygiene,,21000,249663.1,Standard
2015,Emergency Shelter and NFI,3884,5850,249741.32,Standard
2015,Emergency Shelter and NFI,,4000,237847.67,Standard
2015,Emergency Shelter and NFI,1538,1150,249365.92,Standard
2015,Emergency Shelter and NFI,1853,814,250000,Standard
2015,Early Recovery,1968,1700,302486.03,Standard
2015,Early Recovery,1700,1700,95000.06,Standard
2015,Emergency Shelter and NFI,4775,4081,399921.6,Standard
2015,Emergency Shelter and NFI,6811,5000,400008.8,Standard
2015,Health,73,80,108551.5,Standard
2015,Health,6236,7215,298139.79,Standard
2015,Emergency Shelter and NFI,1794,1605,399644.69,Standard
2015,Emergency Shelter and NFI,4046,3500,400000,Standard
2015,Emergency Shelter and NFI,6769,6123,400661.71,Standard
2015,Education,6736,7205,398621.72,Standard
2015,Education,5009,5000,294892,Standard
2015,Health,67645,80530,250000,Standard
2015,Health,11758,10800,315048.98,Standard
2015,Health,800,800,226387.83,Standard
2015,Health,173,297,385408.3,Standard
2015,Health,932,845,152956.65,Standard
2015,Emergency Shelter and NFI,2772,2000,395570.75,Standard
2015,Water Sanitation Hygiene,79140,79140,395153.35,Standard
2015,Health,9970,8675,262990.32,Standard
2015,Health,4022,5000,400000,Standard
2015,Protection,163536,115000,400000,Standard
2015,Water Sanitation Hygiene,9680,4550,397590.39,Standard
2015,Emergency Shelter and NFI,2571,2200,300406.78,Standard
2015,Emergency Shelter and NFI,4453,3400,400000,Standard
2015,Emergency Shelter and NFI,2812,2500,322133,Standard
2015,Emergency Shelter and NFI,3200,3200,399999.99,Standard
2015,Emergency Shelter and NFI,5852,4100,397462.2,Standard
2015,Emergency Shelter and NFI,3518,3096,400093.45,Standard
2015,Emergency Shelter and NFI,3845,3000,400000,Standard
2015,Multi-Sector,,50,225843.47,Reserve
2015,Health,10104,4777,250037.56,Reserve
2015,Health,115,90,150001.16,Reserve
2015,Protection,883,640,155136.09,Reserve
2016,Emergency Shelter and NFI,2736,2640,400000,Standard
2016,Emergency Shelter and NFI,1916,2075,399999.88,Standard
2016,Emergency Shelter and NFI,1732,2124,400000.01,Standard
2016,Emergency Shelter and NFI,4142,3980,400000,Standard
2016,Health,8280,7583,400000,Standard
2016,Health,2280,1159,399950,Standard
2016,Health,120,150,399978.28,Standard
2016,Health,307.12,175.12,30488.92,Standard
2016,Protection,3531.88,2013.88,350622.61,Standard
2016,Emergency Shelter and NFI,1666,2160,400000,Standard
2016,Emergency Shelter and NFI,2095,1910,399997.07,Standard
2016,Emergency Shelter and NFI,2713,2616,400000.07,Standard
2016,Food Security,226650,247500,386417.5,Standard
2016,Health,0,12,317711.31,Standard
2016,Health,7718,4920,378197.13,Standard
2016,Nutrition,2992,2600,113631.22,Standard
2016,Emergency Shelter and NFI,17801.55,15300,339938.09,Standard
2016,Protection,3141.45,2700,59989.08,Standard
2016,Emergency Shelter and NFI,4207,3570,299063.16,Standard
2016,Emergency Shelter and NFI,3503,3250,395001.52,Standard
2016,Emergency Shelter and NFI,3170,3330,399994.02,Standard
2016,Emergency Shelter and NFI,5833,4885,399976.02,Standard
2016,Emergency Shelter and NFI,3502,4150,399863.63,Standard
2016,Health,1533,454,377669.77,Standard
2016,Health,458,427,399932.83,Standard
2016,Emergency Shelter and NFI,19229.4,19440,360000.22,Standard
2016,Protection,2136.6,2160,40000.02,Standard
2016,Protection,6270,4000,349999.38,Standard
2016,Emergency Shelter and NFI,6947,4125,399732.74,Standard
2016,Emergency Shelter and NFI,9955,8820,399998.9,Standard
2016,Emergency Shelter and NFI,7616,7616,295704.81,Standard
2016,Protection,18005,14412,256254.09,Standard
2016,Health,40,35,376363.73,Standard
2016,Nutrition,7049,11220,178810.91,Standard
2016,Water Sanitation Hygiene,10557,10419,380109.56,Standard
2016,Health,122224,107521,172373.58,Reserve
2017,Emergency Shelter and NFI,4655,4742,383007.36,Standard
2017,Emergency Shelter and NFI,3199,2650,300000,Standard
2017,Emergency Shelter and NFI,4590,4128,399999.02,Standard
2017,Health,199,156,249618.16,Standard
2017,Emergency Shelter and NFI,0,1385,265000,Standard
2017,Emergency Shelter and NFI,37006,11219,400000,Standard
2017,Health,671,577,360087.15,Standard
2017,Health,604,485,362684.53,Standard
2017,Health,1189,800,291951.46,Standard
2017,Health,58,52,399963.86,Standard
2017,Protection,1221,1700,370196.8,Standard
2017,Protection,7301,2719,290355.2,Standard
2017,Protection,4375,3015,320186.33,Standard
2017,Emergency Shelter and NFI,1155,1000,200000,Standard
2017,Protection,1155,1000,200000,Standard
2017,Emergency Shelter and NFI,2040,2051,399266.9,Standard
2017,Water Sanitation Hygiene,3864,2150,399997.71,Standard
2017,Water Sanitation Hygiene,2367,2428,399328.04,Standard
2017,Health,334,330,249972.87,Reserve
2017,Emergency Shelter and NFI,7777,6688,396430.19,Standard
2017,Emergency Shelter and NFI,7577,6050,392294.53,Standard
2017,Emergency Shelter and NFI,3160,3160,198232.28,Standard
2017,Education,33,249,204522.45,Standard
2017,Food Security,28000,28000,149877.95,Standard
2017,Food Security,300,300,166666.86,Standard
2017,Food Security,3400,3000,339213.54,Standard
2017,Health,65,32,216640.23,Standard
2017,Health,8400,8250,149721.89,Standard
2018,Health,189,635,399442.02,Standard
2018,Health,,220,399868.63,Standard
2018,Health,,354,397740.08,Standard
2018,Emergency Shelter and NFI,,735.6,108000,Standard
2018,Protection,,1103.4,162000,Standard
2018,Protection,,950,306001.81,Standard
2018,Protection,,1981,370998.21,Standard
2018,Protection,,1725,249999.94,Standard
2018,Protection,,6615,399959.38,Standard
2018,Water Sanitation Hygiene,0,7479,400000,Standard
2018,Water Sanitation Hygiene,,9133,400000,Standard
2018,Emergency Shelter and NFI,,9335,856000,Reserve
2018,Emergency Shelter and NFI,,4500,400000,Standard
2018,Emergency Shelter and NFI,,4260,400000.02,Standard
2018,Emergency Shelter and NFI,,4310,392473.82,Standard
2018,Emergency Shelter and NFI,,3962,300000,Standard
2018,Emergency Shelter and NFI,,1575,199957.27,Standard
2018,Health,,646,393525.77,Standard
2018,Health,,377,398930.88,Standard
2018,Emergency Shelter and NFI,,2175,399635.58,Standard
2018,Emergency Shelter and NFI,,1600,384659.7,Standard
2018,Emergency Shelter and NFI,,1440,110483.52,Standard
2018,Food Security,,720,55241.76,Standard
2018,Water Sanitation Hygiene,,720,55241.76,Standard
2018,Health,,1920,313000.34,Standard
2018,Health,,99,399997.03,Reserve
2015,Early Recovery,553.75,367.5,50093.03,Standard
2015,Emergency Shelter and NFI,553.75,367.5,50093.03,Standard
2015,Protection,1107.5,735,100186.06,Standard
2015,Emergency Shelter and NFI,14215,11000,173197.67,Standard
2015,Education,8182,1155,96565.68,Standard
2015,Food Security,170,150,148698.1,Standard
2015,Health,810,755,100000,Standard
2015,Health,69,63,50728.7,Standard
2015,Health,28177,9500,246750,Standard
2015,Health,78,105,10887.36,Standard
2015,Protection,442,595,61695.02,Standard
2015,Protection,5227,3500,291981.6,Standard
2015,Protection,978,2576,316005.27,Standard
2015,Protection,2070,2430,299987.17,Standard
2015,Protection,1484,1380,169921.35,Standard
2015,Protection,1903,1442,295438.45,Standard
2015,Protection,6086,5728,150000.82,Standard
2015,Protection,582,350,119999.96,Standard
2015,Protection,180,180,199704,Standard
2015,Protection,938,700,81183.04,Standard
2015,Protection,77,60,70035.12,Standard
2015,Protection,1061,770,199875.79,Standard
2015,Protection,314,600,126368.09,Standard
2015,Protection,7971,3658,149955.15,Standard
2015,Early Recovery,52.5,49,76269.17,Standard
2015,Protection,22.5,21,32686.79,Standard
2015,Water Sanitation Hygiene,36864,23040,149859.92,Standard
2015,Emergency Shelter and NFI,5268,5112,249968.82,Reserve
2015,Emergency Shelter and NFI,3087,3325,123174.12,Reserve
2015,Emergency Shelter and NFI,9228,6336,234237.98,Reserve
2015,Emergency Shelter and NFI,5559,5575,244880.2,Reserve
2015,Emergency Shelter and NFI,4787,3098,225913.88,Reserve
2015,Emergency Shelter and NFI,6010,6010,249953.07,Reserve
2015,Emergency Shelter and NFI,31303,31303,113355.8,Reserve
2015,Water Sanitation Hygiene,2960,1800,211024.33,Reserve
2016,Emergency Shelter and NFI,2413,2500,925766.57,Standard
2016,Emergency Shelter and NFI,3265,3265,999987.76,Standard
2016,Emergency Shelter and NFI,3125,3125,1000000,Standard
2016,Emergency Shelter and NFI,3168,3168,999009.25,Standard
2016,Emergency Shelter and NFI,2029,2357,1000000.04,Standard
2016,Emergency Shelter and NFI,852,4215,1171517.43,Standard
2016,Food Security,2977,2525,125000,Standard
2016,Protection,2977,2525,125000,Standard
2016,Food Security,3065,2704,248679.77,Standard
2016,Health,200,154,248774.25,Standard
2016,Health,36855,42681,1050000,Standard
2016,Health,40148,42000,1085486.1,Standard
2016,Health,77077,39000,231850.21,Standard
2016,Early Recovery,55,150,239993.69,Standard
2016,Protection,467,210,499164.83,Standard
2016,Protection,1850,1840,150000.19,Standard
2016,Protection,1661,1381,125683.42,Standard
2016,Protection,18553,10860,365231,Standard
2016,Protection,1433,1845,507253.83,Standard
2016,Protection,200,200,242331.27,Standard
2016,Protection,1723,1565,480679.37,Standard
2016,Protection,8899,8654,437795.94,Standard
2016,Protection,1247,730,117094.38,Standard
2016,Protection,220,120,249318.52,Standard
2016,Protection,200,135,119907.2,Standard
2016,Protection,1393,608,156001.72,Standard
2016,Protection,255,240,169344.62,Standard
2016,Protection,60948,60500,385548.64,Standard
2016,Early Recovery,1668.9,1735.8,329999.88,Standard
2016,Emergency Shelter and NFI,2781.5,2893,549999.8,Standard
2016,Water Sanitation Hygiene,1112.6,1157.2,219999.92,Standard
2016,Early Recovery,8865,7068,730767.2,Standard
2016,Early Recovery,321,225,289453.87,Standard
2016,Early Recovery,682,375,456824.58,Standard
2016,Early Recovery,154,154,309966,Standard
2016,Health,25999.5,15900,340311.5,Standard
2016,Water Sanitation Hygiene,60665.5,37100,794060.17,Standard
2016,Early Recovery,688,688,49927.48,Standard
2016,Water Sanitation Hygiene,2752,2752,199709.94,Standard
2016,Water Sanitation Hygiene,12811,12522,1120209.75,Standard
2016,Water Sanitation Hygiene,17282,17700,1018667.82,Standard
2016,Water Sanitation Hygiene,103105,103105,1189495.21,Standard
2016,Water Sanitation Hygiene,61174,26000,770056,Standard
2016,Water Sanitation Hygiene,30908,30908,1167463.15,Standard
2016,Early Recovery,2185.8,2006,52732.63,Reserve
2016,Emergency Shelter and NFI,8743.2,8024,210930.52,Reserve
2016,Emergency Shelter and NFI,3265,3265,599971.35,Reserve
2016,Emergency Shelter and NFI,484,483,345036.48,Reserve
2016,Emergency Shelter and NFI,2029,2322,136509.6,Reserve
2016,Emergency Shelter and NFI,2655,2655,356940.67,Reserve
2016,Food Security,2200,2200,250000,Reserve
2016,Protection,769,720,517887.28,Reserve
2016,Protection,14104,11070,326304.42,Reserve
2016,Protection,4275,4500,291099.32,Reserve
2016,Protection,0,800,130850.03,Reserve
2016,Emergency Shelter and NFI,2023,2015,98050.62,Reserve
2016,Water Sanitation Hygiene,1608,1631,250022.62,Reserve
2016,Water Sanitation Hygiene,5067,4880,250048.47,Reserve
2016,Water Sanitation Hygiene,8567,5210,254435.92,Reserve
2016,Water Sanitation Hygiene,0,36480,238539.17,Reserve
2016,Water Sanitation Hygiene,19562,20627,142277.9,Reserve
2017,Emergency Shelter and NFI,250,250,250000,Reserve
2017,Emergency Shelter and NFI,3265,3265,341779.98,Reserve
2017,Health,14,29,145622.75,Reserve
2017,Health,30,32,159087.6,Reserve
2017,Health,122,122,104432,Reserve
2017,Protection,210,540,271983.3,Reserve
2017,Protection,152,400,158025,Reserve
2017,Protection,42000,60000,99799.97,Reserve
2017,Education,133,691,187070.24,Standard
2017,Education,213,250,154395.7,Standard
2017,Health,605,575,110686.91,Standard
2017,Health,141,300,352407.83,Standard
2017,Health,14251,5000,252219.33,Standard
2017,Emergency Shelter and NFI,42.5,868.75,81049.16,Standard
2017,Protection,127.5,2606.25,243147.47,Standard
2017,Emergency Shelter and NFI,67.6,851.6,159190.5,Standard
2017,Protection,101.4,1277.4,238785.76,Standard
2017,Protection,1189,1215,250857.81,Standard
2017,Protection,100,100,279182.3,Standard
2017,Protection,1233,1800,535680.34,Standard
2017,Protection,891,2640,235042.98,Standard
